"Tumor_Sample_Barcode" "type"
"TCGA-R2-A69V-01" "TCGA-R2-A69V" "Tumor"
"TCGA-IR-A3LC-01" "TCGA-IR-A3LC" "Tumor"
"TCGA-VS-A8EH-01" "TCGA-VS-A8EH" "Tumor"
"TCGA-C5-A2LX-01" "TCGA-C5-A2LX" "Tumor"
"TCGA-DS-A7WF-01" "TCGA-DS-A7WF" "Tumor"
"TCGA-UC-A7PG-01" "TCGA-UC-A7PG" "Tumor"
"TCGA-Q1-A73R-01" "TCGA-Q1-A73R" "Tumor"
"TCGA-JW-A5VL-01" "TCGA-JW-A5VL" "Tumor"
"TCGA-VS-A8EI-01" "TCGA-VS-A8EI" "Tumor"
"TCGA-EA-A3QD-01" "TCGA-EA-A3QD" "Tumor"
"TCGA-C5-A1MI-01" "TCGA-C5-A1MI" "Tumor"
"TCGA-EK-A2RO-01" "TCGA-EK-A2RO" "Tumor"
"TCGA-VS-A8QC-01" "TCGA-VS-A8QC" "Tumor"
"TCGA-VS-A8QH-01" "TCGA-VS-A8QH" "Tumor"
"TCGA-VS-A94Z-01" "TCGA-VS-A94Z" "Tumor"
"TCGA-C5-A1MH-01" "TCGA-C5-A1MH" "Tumor"
"TCGA-ZJ-AAXD-01" "TCGA-ZJ-AAXD" "Tumor"
"TCGA-VS-A9U6-01" "TCGA-VS-A9U6" "Tumor"
"TCGA-MA-AA3Z-01" "TCGA-MA-AA3Z" "Tumor"
"TCGA-C5-A1MJ-01" "TCGA-C5-A1MJ" "Tumor"
"TCGA-ZJ-AAXB-01" "TCGA-ZJ-AAXB" "Tumor"
"TCGA-EA-A3HR-01" "TCGA-EA-A3HR" "Tumor"
"TCGA-EK-A3GN-01" "TCGA-EK-A3GN" "Tumor"
"TCGA-IR-A3LA-01" "TCGA-IR-A3LA" "Tumor"
"TCGA-RA-A741-01" "TCGA-RA-A741" "Tumor"
"TCGA-EK-A2H1-01" "TCGA-EK-A2H1" "Tumor"
"TCGA-HM-A3JK-01" "TCGA-HM-A3JK" "Tumor"
"TCGA-FU-A23L-01" "TCGA-FU-A23L" "Tumor"
"TCGA-BI-A0VS-01" "TCGA-BI-A0VS" "Tumor"
"TCGA-VS-A9UR-01" "TCGA-VS-A9UR" "Tumor"
"TCGA-JX-A3Q8-01" "TCGA-JX-A3Q8" "Tumor"
"TCGA-C5-A8XI-01" "TCGA-C5-A8XI" "Tumor"
"TCGA-LP-A4AU-01" "TCGA-LP-A4AU" "Tumor"
"TCGA-EA-A411-01" "TCGA-EA-A411" "Tumor"
"TCGA-C5-A8ZZ-01" "TCGA-C5-A8ZZ" "Tumor"
"TCGA-FU-A40J-01" "TCGA-FU-A40J" "Tumor"
"TCGA-DS-A7WH-01" "TCGA-DS-A7WH" "Tumor"
"TCGA-C5-A7UC-01" "TCGA-C5-A7UC" "Tumor"
"TCGA-C5-A7CM-01" "TCGA-C5-A7CM" "Tumor"
"TCGA-VS-A9V3-01" "TCGA-VS-A9V3" "Tumor"
"TCGA-MA-AA42-01" "TCGA-MA-AA42" "Tumor"
"TCGA-C5-A8XH-01" "TCGA-C5-A8XH" "Tumor"
"TCGA-EK-A3GJ-01" "TCGA-EK-A3GJ" "Tumor"
"TCGA-JW-AAVH-01" "TCGA-JW-AAVH" "Tumor"
"TCGA-VS-A9UO-01" "TCGA-VS-A9UO" "Tumor"
