"","dynamicColors","mergedColors"
"ADH1C","yellow","black"
"ADH5","turquoise","greenyellow"
"ADH7","green","green"
"ADHFE1","turquoise","greenyellow"
"ADI1","cyan","cyan"
"ADIPOR1","cyan","cyan"
"ADIPOR2","turquoise","greenyellow"
"ADK","turquoise","greenyellow"
"ADM","yellow","black"
"ADM2","yellow","black"
"ADNP","turquoise","greenyellow"
"ADNP2","turquoise","greenyellow"
"ADO","turquoise","greenyellow"
"ADORA1","brown","brown"
"ADORA2B","green","green"
"ADPGK","turquoise","greenyellow"
"ADPRH","blue","blue"
"ADPRHL1","yellow","black"
"ADPRHL2","tan","tan"
"ADRA2A","brown","brown"
"ADRA2B","pink","pink"
"ADRA2C","yellow","black"
"ADRB1","turquoise","greenyellow"
"ADRB2","green","green"
"ADRM1","red","red"
"ADSL","purple","greenyellow"
"AEBP1","brown","brown"
"AEBP2","turquoise","greenyellow"
"AEN","turquoise","greenyellow"
"AFAP1","turquoise","greenyellow"
"AFAP1L1","turquoise","greenyellow"
"AFAP1L2","salmon","green"
"AFF1","turquoise","greenyellow"
"AFF4","greenyellow","greenyellow"
"AFG3L2","turquoise","greenyellow"
"AFMID","turquoise","greenyellow"
"AFTPH","turquoise","greenyellow"
"AGA","turquoise","greenyellow"
