"","dynamicColors","mergedColors"
"BRCC3","turquoise","greenyellow"
"BRD1","turquoise","greenyellow"
"BRD2","turquoise","greenyellow"
"BRD3","turquoise","greenyellow"
"BRD4","turquoise","greenyellow"
"BRD7","tan","tan"
"BRD8","greenyellow","greenyellow"
"BRD9","turquoise","greenyellow"
"BRF1","turquoise","greenyellow"
"BRF2","turquoise","greenyellow"
"BRI3","turquoise","greenyellow"
"BRI3BP","turquoise","greenyellow"
"BRIP1","turquoise","greenyellow"
"BRIX1","turquoise","greenyellow"
"BRMS1","red","red"
"BRMS1L","turquoise","greenyellow"
"BRPF1","magenta","magenta"
"BRPF3","turquoise","greenyellow"
"BRSK1","brown","brown"
"BRWD1","turquoise","greenyellow"
"BRWD3","turquoise","greenyellow"
"BSCL2","turquoise","greenyellow"
"BSDC1","turquoise","greenyellow"
"BSG","midnightblue","midnightblue"
"BSPRY","yellow","black"
"BST1","blue","blue"
"BST2","blue","blue"
"BTAF1","turquoise","greenyellow"
"BTBD1","turquoise","greenyellow"
"BTBD10","salmon","green"
"BTBD11","green","green"
"BTBD2","midnightblue","midnightblue"
"BTBD3","turquoise","greenyellow"
"BTBD6","turquoise","greenyellow"
"BTBD7","turquoise","greenyellow"
"BTBD9","turquoise","greenyellow"
"BTC","black","black"
"BTD","magenta","magenta"
"BTF3","red","red"
"BTF3L4","turquoise","greenyellow"
"BTG1","pink","pink"
"BTG2","turquoise","greenyellow"
"BTG3","turquoise","greenyellow"
"BTK","blue","blue"
"BTLA","blue","blue"
"BTN2A1","turquoise","greenyellow"
"BTN2A2","purple","greenyellow"
"BTN3A1","blue","blue"
"BTN3A2","blue","blue"
"BTN3A3","blue","blue"
"BTNL9","black","black"
"BTRC","turquoise","greenyellow"
"BUB1","turquoise","greenyellow"
"BUB1B","turquoise","greenyellow"
"BUB3","turquoise","greenyellow"
"BUD13","lightgreen","lightgreen"
"BUD31","red","red"
"BVES","purple","greenyellow"
"BYSL","royalblue","royalblue"
"BZW1","turquoise","greenyellow"
"BZW2","turquoise","greenyellow"
"C10orf55","green","green"
"C10orf67","turquoise","greenyellow"
"C10orf88","turquoise","greenyellow"
"C10orf95","yellow","black"
"C10orf99","green","green"
"C11orf1","lightgreen","lightgreen"
"C11orf21","blue","blue"
"C11orf24","green","green"
"C11orf45","turquoise","greenyellow"
"C11orf49","black","black"
"C11orf53","grey","grey"
"C11orf54","lightgreen","lightgreen"
"C11orf58","turquoise","greenyellow"
"C11orf68","red","red"
"C11orf71","black","black"
"C11orf74","black","black"
"C11orf80","turquoise","greenyellow"
"C12orf10","red","red"
"C12orf29","turquoise","greenyellow"
"C12orf4","turquoise","greenyellow"
"C12orf43","purple","greenyellow"
"C12orf45","red","red"
"C12orf49","turquoise","greenyellow"
"C12orf54","green","green"
"C12orf57","red","red"
"C12orf65","turquoise","greenyellow"
"C12orf66","turquoise","greenyellow"
"C12orf73","red","red"
"C12orf76","turquoise","greenyellow"
"C14orf28","turquoise","greenyellow"
"C14orf39","turquoise","greenyellow"
"C14orf93","black","black"
"C15orf39","turquoise","greenyellow"
